Player,Role,Runs 2025,Bat Avg,Wickets,Bowl Avg,Batting SR,Highest Score,Economy,Bowling SR
Mohammad Rizwan,WK,610,46.9,0,0,132.5,104,0,0
Babar Azam,Batter,580,41.4,0,0,130.2,122,0,0
Saim Ayub,Batter,420,28,4,35.5,145.4,82,8.25,25.8
Fakhar Zaman,Batter,390,32.5,0,0,140.8,91,0,0
Usman Khan,Batter,340,30.9,0,0,148.5,75,0,0
Azam Khan,WK,210,21,0,0,155.2,64,0,0
Iftikhar Ahmed,Bowling All-rounder,280,25.4,7,28.8,138.6,62,7.95,21.7
Imad Wasim,Bowling All-rounder,190,23.75,15,21.5,132.4,48,6.85,18.8
Shadab Khan,Bowling All-rounder,170,18.8,14,26.4,135,52,7.8,20.3
Shaheen Afridi,Bowler,90,15,22,19.2,120,35,7.65,15.1
Naseem Shah,Bowler,35,8.75,18,22.4,105,20,7.85,17.1
Haris Rauf,Bowler,20,5,25,20.8,95,12,8.4,14.9
Mohammad Amir,Bowler,15,7.5,16,23.1,102.5,15,7.35,18.9
Zaman Khan,Bowler,10,5,14,24.6,85,8,8.1,18.2
Abrar Ahmed,Bowler,25,12.5,12,21.9,70,5,7.45,17.6
Sahibzada Farhan,Batter,760,50.9,0,0,161.1,100,0,0
Salman Ali Agha,Batting All-rounder,306,36.6,6,6.9,149.1,76,7.9,16.5
